entity,answer
50 оттенков серого,"Дакота Джонсон, Джейми Дорнан"
Гарри Поттер и философский камень,"Дэниел Рэдклифф, Руперт Гринт, Эмма Уотсон"
Плохие парни,"Уилл Смит, Мартин Лоуренс"
Игра в имитацию,"Бенедикт Камбербэтч, Кира Найтли"
Пираты Карибского моря,"Проклятие Черной жемчужины,Джонни Депп, Орландо Блум, Кира Найтли"
Ворошиловский стрелок,"Алексей Баталов, Федор Бондарчук"
Бойцовский Клуб,"Эдвард Нортон, Брэд Питт"
Бриллиантовая рука,"Юрий Никулин, Андрей Миронов"
Скорость,"Киану Ривз, Сандра Буллок"
Унесенные ветром,"Вивьен Ли, Кларк Гейбл"
Не родись красивой,"Анна Снаткина, Дмитрий Арбенин"
Крестный отец,"Марлон Брандо, Аль Пачино"
Телохранитель киллера,"Райан Рейнольдс, Сэмюэл Л. Джексон"
Видок Император Парижа 2018,"Пьер Найс, Адель Энель"
Т 34,"Александр Петров, Виктор Добронравов"
Мстители,"Финал,Роберт Дауни мл., Крис Эванс"
Мэри Поппинс,"Джули Эндрюс, Дик Ван Дайк"
Матрица,"Киану Ривз, Лоуренс Фишбёрн"
Титаник,"Леонардо ДиКаприо, Кейт Уинслет"
Охотники за приведениями,"Билл Мюррей, Дэн Эйкройд"
Бешеные псы,"Аль Пачино, Крис Сарандон"
Ирония судьбы или с легким паром,"Андрей Миронов, Барбара Брыльска"
Петля времени,"Том Круз, Эмили Блант"
Люди в черном,"Уилл Смит, Томми Ли Джонс"
Три мушкетера,"Логан Лерман, Милла Йовович"
Крым,"Евгений Цыганов, Дмитрий Назаров"
Голодные игры,"Дженнифер Лоуренс, Джош Хатчерсон"
Смертельное оружие,"Мел Гибсон, Дэнни Гловер"
Маска,"Джим Керри, Кэмерон Диаз"
Свадьба в Малиновке,"Якоб Шур, Людмила Гурченко"
Миллионер из трущоб,"Дев Патель, Фрида Пинто"
Место встречи изменить нельзя,"Владимир Высоцкий, Евгений Леонов"
План игры,"Брэд Питт, Джонатан Прайс"
Дэдпул,"Райан Рейнольдс, Морена Баккарин"
Дети шпионов,"Антонио Бандерас, Карла Гуджино"
Господин Никто,"Джаред Лето, Сара Полли"
Мой парень псих,"Райан Гослинг, Стив Карелл"
Черная молния,"Джейми Фокс, Джерард Батлер"
Ред,"Брюс Уиллис, Морган Фриман"
Госфорд парк,"Мэгги Смит, Хью Бонневилль"
Морозко,"Александр Хвыля, Ельза Ланжестер"
Друзья,"Дженнифер Энистон, Куртни Кокс, Дэвид Швиммер, Лиса Кудроу, Мэттью Перри, Мэтт Леблан"
Старики разбойники,"Александр Демьяненко, Николай Бурляев"
11,"Евгений Стычкин, Сергей Гармаш"
Даун Хаус,"Юрий Стоянов, Сергей Брин"
Чего хочет женщина,"Мел Гибсон, Хелен Хант"
Гарри Поттер,"Дэниел Рэдклифф, Руперт Гринт, Эмма Уотсон"
О Любви,"Рената Литвинова, Алексей Чадов"
