entity,answer
Андеграунд,Александар Божович (Aleksandar Boshkovich)
Полночное солнце,Роджер Прэттс (Roger Pratt)
Дэдпул,Кен Сенг (Ken Seng)
5 элемент,Александр Карсгард (Thierry Arbogast)
Властелин колец Возвращение короля,Эндрю Лесни (Andrew Lesnie)
Астрал,Джон Р. Леонетти (John R. Leonetti)
Форест Гамп,Дон Бёргман (Don Burgess)
Хэллфест,Эрик Энгланд (Eric Engler)
Собачье сердце,Валентин Чернюк (Valentin Chernykh)
Страны тигров,Андрей Зайцев (Andrey Zaytsev)
Чернобыль,Крис Себин (Chris Seager)
Гоголь,Юрий Ковган (Yuriy Kovalyov)
Пятьдесят оттенков серого,Сеймур Поупко (Seamus McGarvey)
Одноклассники,Артем Якин (Artyom Yakim)
Семейный брак,Валентин Чернюк (Valentin Chernykh)
Игры разумов,Ховард Хьюз (Howard Hughes)
Зеленая миля,Дэвид Тэттерсолл (David Tattersall)
Бриллиантовая рука,Игорь Чернявский (Igor Chernyavskiy)
А зори здесь тихие,Владимир Козлов (Vladimir Kozlov)
Четвертый,Лукас Эйкерман (Lucas Ettlin)
Любовь морковь,Сергей Астахов (Sergey Astakhov)
Тобол,Михаил Хасаян (Mikhail Khasayan)
Железный человек,Мэттью Либатик (Matthew Libatique)
Джон Уик третий,Дэн Лаустсен (Dan Laustsen)
Титаник,Рассел Карпентер (Russell Carpenter)
Миссия невыполнима,Стівен Віндон (Stephen Windon)
Мстители 3 Война бесконечности,Тревор Хант (Trent Opaloch)
Мстители Финал,Тревор Хант (Trent Opaloch)
Белое солнце пустыни,Эдуард Розовский (Eduard Rozovsky)
Тупой и еще тупее,Мэтт Ллойд (Matt Lloyd)
Собачьей жизни,Дэн Лаустсен (Dan Laustsen)
Экипаж,Пётр Дуров (Petr Durov)
Матрица,Дон Дэвис (Don Davis)
Остаться в живых,Майкл Бонвилл (Michael Bonvill)
Зеленая миля,Дэвид Тэттерсолл (David Tattersall)
Аквамен,Дон Батлер (Don Burgess)
Крайний космос,Владимир Стариков (Vladimir Starikov)
Война и мир,Родион Павлючик (Rodion Pavlyuchik)
Игра престолов,Дэвид Франко (David Franco)
Мальчик в пижаме,Бен Дэвис (Ben Davis)
Вечное сияние чистого разума,Эллен Курас (Ellen Kuras)
Война и мир,Владимир Ильин (Vladimir Ilin)
Балканский рубеж,Максим Осадчий (Maksim Osadchiy)
Форрест Гамп,Дон Бёргман (Don Burgess)
Тихий Дон,Игорь Чернявский (Igor Chernyavskiy)
Няньки,Дмитрий Юцевич (Dmitry Yutsevich)
Кухня в Париже,Игорь Чернявский (Igor Chernyavskiy)
Операция Ы и другие приключения Шурика,Валентин Чернюк (Valentin Chernykh)
Мишка Япончик,Игорь Чернявский (Igor Chernyavskiy)
Темный рыцарь,Улрих Зайдль (Wally Pfister)
Веселые ребята,Эдуард Тиссэ (Edward Tisse)
Гоголь,Любомир Штерджев (Lyubomir Sharlandzhiev)
Мгла,Эндрю Шульц (Andrew Schultz)
Темный рыцарь,Улрих Зайдль (Wally Pfister)
Москва слезам не верит,Игорь Чернявский (Igor Chernyavskiy)
Меланхолия,Мануэль Альберт Клапрог (Manuel Alberto Claro)
Парк юрского периода часть 3,Майк Гиолакакис (Mike Gioulakis)
СМЕРШ,Денис Альард (Denis Alar)
Поворот не туда 3,Клаус Эрфельд (Klaus Eichhammer)
Трансформеры,Джон Шварцман (John Schwartzman)
Бег,Эндрю Шульц (Andrew Schultz)
Морской бой,Тоби Оливъер (Toby Oliver)
Геошторм,Роберт Швентке (Robert Schwentke)
Коматозники,Сергей Хуснутдинов (Sergey Kozlov)
Робокоп,Лулу Гуиннесс (Lula Carvalho)
Цыган,Александр Квашнин (Aleksandr Kwashnin)
Отряд самоубийц,Роман Васьянов (Roman Vasyanov)
Третий лишний,Лоренцо Сенатори (Lorenzo Senatore)
Аватара,Мауро Фьори (Mauro Fiore)
Аватар,Мауро Фьори (Mauro Fiore)
Вторая жизнь Уве,Гёран Халлберг (Goran Hallberg)
Хатико,Шарлотта Брюссо (Charlotte Bruus Christensen)
Клон,Жером Эппин (Jerome Epin)
11,Грег Фрейзер (Greg Fraser)
