entity,answer
Т 34,Алексей Сидоров (Aleksey Sidorov)
Матч,Андрей Малюков (Andrey Malyukov)
Тренер,Дэвид О. Расселл (David O. Russell)
Парк юрского периода часть 1,Стивен Спилберг (Steven Spielberg)
Сталинград,Федор Бондарчук (Fyodor Bondarchuk)
"Мстители,Финал",Энтони Руссо (Anthony Russo) и Джо Руссо (Joe Russo)
Игра престолов (сериал),"Дэвид Бениофф и Д. Б. Уайсс (David Benioff, D. B. Weiss)"
Мальчишник в Вегасе,Тодд Филлипс (Todd Phillips)
Парк юрского периода часть 2,Жан-Жак Анно (J.A. Bayona)
Над пропастью во ржи,Марк Райделл (Mark Rydell)
Криминальное чтиво,Квентин Тарантино (Quentin Tarantino)
Окулус,Майк Флэнаган (Mike Flanagan)
Я шагаю по Москве,Георгий Данелия (Georgiy Daneliya)
Клон,Агнешка Холланд (Agnieszka Holland)
Т 34,Алексей Сидоров (Aleksey Sidorov)
"Эйс Вентура,Розыск домашних животных",Том Шедьяк (Tom Shadyac)
Золушка,Кеннет Брана (Kenneth Branagh)
Богемская рапсодия,Брайан Сингер (Bryan Singer)
Парк юрского периода часть 3,Колин Треворроу (Colin Trevorrow)
Веном,Рубен Флейшер (Ruben Fleischer)
Пятый элемент,Люк Бессон (Luc Besson)
Воронины (сериал),Разные режиссеры для разных эпизодов
50 оттенков серого,Сэм Тейлор-Джонсон (Sam Taylor-Johnson)
Вий,Олег Степченко (Oleg Stepchenko)
Ангелы Чарли,Элизабет Бэнкс (Elizabeth Banks)
Человек-муравей,Пейтон Рид (Peyton Reed)
Санктум,Альфонсо Куарон (Alfonso Cuarón)
Матрица,Братья Вачовски (The Wachowskis)
Выше неба,Шона Эрлих (Shona Auerbach)
Мгла,Фрэнк Дарабонт (Frank Darabont)
Горбатая гора,Анджей Вайда (Andrzej Wajda)
Гарри Поттер и философский камень,Крис Коламбус (Chris Columbus)
Золотая молодежь,Ильдар Ягафаров (Ildar Yagafarov)
Дурак,Юрий Быков (Yuri Bykov)
Рембо,Сильвестр Сталлоне (Sylvester Stallone)
Оно,Андрес Мускетти (Andy Muschietti)
Мимино,Георгий Данелия (Georgiy Daneliya)
Зеленая миля,Фрэнк Дарабонт (Frank Darabont)
Однажды в Марселе,Жюльен Леклерк (Julien Leclercq)
Призрак,Джерри Цук
Форсаж,Роб Коэн (Rob Cohen)
Горбатая гора,Анджей Вайда (Andrzej Wajda)
Матрица,Братья Вачовски (The Wachowskis)
Скала,Майкл Бэй (Michael Bay)
Армагеддон,Майкл Бэй (Michael Bay)
Вор,Джон Буэн (John Woo)
Побег из Шоушенка,Фрэнк Дарабонт (Frank Darabont)
"Мстители,Война бесконечности",Антони Руссо (Anthony Russo) и Джо Руссо (Joe Russo)
Бойцовский клуб,Дэвид Финчер (David Fincher)
Толстяк на ринге,Том МакКарти (Tom McCarthy)
Бес,Винсент Парано (Vincent Paronnaud) и Маржан Сатрапи (Marjane Satrapi)
"Тор,Рагнарёк",Тайка Вайтити (Taika Waititi)
Нечто (1982),Джон Карпентер (John Carpenter)
Зловещие мертвецы (2013),Феде Альварес (Fede Álvarez)
У холмов есть глаза,Александр Аджа (Alexandre Aja)
Бриллиантовая рука,Леонид Гайдай (Leonid Gaidai)
Санктум,Альфонсо Куарон (Alfonso Cuarón)
Титаник,Джеймс Кэмерон (James Cameron)
Морской бой,Питер Берг (Peter Berg)
Последний рубеж,Ким Джи-ун (Kim Jee-woon)
Послезавтра,Роланд Эммерих (Roland Emmerich)
Чужой,Ридли Скотт (Ridley Scott)
Троя,Вольфганг Петерсен (Wolfgang Petersen)
Экипаж,Роберт Земекис (Robert Zemeckis)
8 миля,Кёртис Хэнсон (Curtis Hanson)
До встречи с тобой,Теа Шеррок (Thea Sharrock)
Бэтмен,Тим Бёртон (Tim Burton)
Аватар,Джеймс Кэмерон (James Cameron)
Кит,Джо Райт (Joe Wright)
Рокки 3,Сильвестр Сталлоне (Sylvester Stallone)
Оно,Энди Мускетти (Andy Muschietti)
Любовь и голуби,Владимир Меньшов (Vladimir Menshov)
Железный человек,Джон Фавро (Jon Favreau)
Иван Васильевич меняет профессию,Леонид Гайдай (Leonid Gaidai)
Левиафан,Андрей Звягинцев (Andrey Zvyagintsev)
Волчья яма,Владимир Бортко (Vladimir Bortko)
Малышка на миллион,Валерий Тодоровский (Valery Todorovsky)
Авиатор,Мартин Скорсезе (Martin Scorsese)
Чарли и шоколадная фабрика,Тим Бёртон (Tim Burton)
Человек из стали,Зак Снайдер (Zack Snyder)
К звездам,Дэмиен Шазель (Damien Chazelle)
Назад в будущее,Роберт Земекис (Robert Zemeckis)
Шрек,Эндрю Адамсон (Andrew Adamson) и Виктория Дженсен (Victoria Jenson)
Дэдпул,Тим Миллер (Tim Miller)
Области тьмы,Джон Хиллкоут (John Hillcoat)
Человек-паук,Сэм Рэйми (Sam Raimi)
Властелин колец,Питер Джексон (Peter Jackson)
Аватар,Джеймс Кэмерон (James Cameron)
Зеленая миля,Фрэнк Дарабонт (Frank Darabont)
Терминатор 2,Джеймс Кэмерон (James Cameron)
"Человек-паук,Вдали от дома",Джон Уоттс (Jon Watts)
"Мстители,Финал",Энтони Руссо (Anthony Russo) и Джо Руссо (Joe Russo)
3 метра над уровнем неба,Фернандо Гонзалез Молина (Fernando González Molina)
Игры разума,Рон Ховард (Ron Howard)
Титаник,Джеймс Кэмерон (James Cameron)
Остров,Павел Лунгин (Pavel Lungin)
Капитан Марвел,"Анна Боден и Райан Флек (Anna Boden, Ryan Fleck)"
Властелин колец,Питер Джексон (Peter Jackson)
Пилигрим,Эдгар Райт (Edgar Wright)
Горбатая гора,Виталий Манский (Vitaly Mansky)
Красотка,Гэри Маршалл (Garry Marshall)
Крик 2,Уэс Крэйвен (Wes Craven)
Богемская рапсодия,Брайан Сингер (Bryan Singer)
Большая игра,Аарон Соркин (Aaron Sorkin)
Место встречи изменить нельзя,Станислав Говорухин
Пираты Карибского моря,Гор Вербински (Gore Verbinski)
Люди в черном,Барри Зонненфельд (Barry Sonnenfeld)
Логан,Джеймс Мэнголд (James Mangold)
Люди в черном,Ф. Гэри Грей (F. Gary Gray)
Экипаж,Роберт Земекис (Robert Zemeckis)
Терминатор,Тим Миллер (Tim Miller)
Терминатор,Джеймс Кэмерон (James Cameron)
Путь домой,Лассе Халльстрём (Lasse Hallström)
Пираты Карибского моря,Хоаким Рённинг (Joachim Rønning)
Одноклассники,Никита Михалков
Амели,Жан-Пьер Жене (Jean-Pierre Jeunet)
Поворот не туда,Роберт Земекис (Robert Zemeckis)
11,Даррен Аронофски (Darren Aronofsky)
Та еще парочка,Питер и Боб Фаррелии (Peter and Bobby Farrelly)
"Бегущий в лабиринте,Лекарство от смерти",Уэс Болл (Wes Ball)
Молчание ягнят,Джонатан Демми (Jonathan Demme)
Гладиатор,Ридли Скотт (Ridley Scott)
Трансформеры,Майкл Бэй (Michael Bay)
Тихоокеанский рубеж,Гильермо дель Торо (Guillermo del Toro)
Волна,Деннис Ганзель (Dennis Gansel)
Одиноким предоставляется общежитие,Стивен Херек (Steve Herek)
Острые козырьки,Гай Ричи (Guy Ritchie)
Одноклассники,Герман Волков (German Volkov)
Начало,Кристофер Нолан (Christopher Nolan)
Суспирия,Лука Гуаданьино (Luca Guadagnino)
Грязные танцы,Эмиль Ардолино (Emile Ardolino)
Каникулы строго режима,Харольд Рэмис (Harold Ramis)
Оно,Андрес Мускетти (Andrés Muschietti)
Доспехи бога,Джеки Чан (Jackie Chan)
Фредди против Джейсона,Ронни Ю (Ronny Yu)
Терминатор,Тимоор Бекмамбетов (Timur Bekmambetov)
Звездные войны,Джордж Лукас (George Lucas)
Искупление,Фрэнк Дарабонт (Frank Darabont)
Нечто,Джон Карпентер (John Carpenter)
Бурлеск,Стивен Антин (Steven Antin)
Бесславные ублюдки,Квентин Тарантино (Quentin Tarantino)
Аватар,Джеймс Кэмерон (James Cameron)
Дом у озера,Алехандро Агрести (Alejandro Agresti)
Тайны домашних животных,Крис Рено (Chris Renaud)
Елки,Тимур Бекмамбетов (Timur Bekmambetov)
В метре друг от друга,Джастин Болдони (Justin Baldoni)
Джон Уик,Чад Стахелски (Chad Stahelski)
Кинг Конг,Питер Джексон (Peter Jackson)
Сплит,М. Найт Шьямалан (M. Night Shyamalan)
Дедушка легкого поведения,Дэн Мазер (Dan Mazer)
Предложение,Антонио Куентин (Anne Fletcher)
Бэтмен против Супермена,Зак Снайдер (Zack Snyder)
Лион,Гарт Дэвис (Garth Davis)
Птичий короб,Сьюзан Сейделман (Susan Seidelman)
Криминальное чтиво,Квентин Тарантино (Quentin Tarantino)
Жизнь Пи,Анг Ли (Ang Lee)
Женщины против мужчин,Фаина Яковлева
Аладдин,Гай Ричи (Guy Ritchie)
Терминатор,Тим Миллер (Tim Miller)
От заката до рассвета,Роберт Родригес (Robert Rodriguez)
Однажды в Марселе,Жюльен Локайр (Julien Leclercq)
Москва слезам не верит,Владимир Меньшов
Годзилла,Майк Доугерти (Michael Dougherty)
Джон Уик 3,Чад Стахелски (Chad Stahelski)
Чернобыль,Йохан Ренк (Johan Renck)
Выживший,Алек Волковитш (Aleksandr Shapiro)
Бабушка легкого поведения,Андрей Кондрашов
Скала,Майкл Бэй (Michael Bay)
Служебный роман,Эльдар Рязанов
В метре друг от друга,Джастин Болдони (Justin Baldoni)
Драйв,Николас Виндинг Рефн (Nicolas Winding Refn)
Штрафбат,Иван Кравцов
Джентльмены удачи,Александр Рогожкин
Покемон Детектив Пикачу,Роб Леттерман (Rob Letterman)
Мотылек,Джан Марко Тревелта (Jean-Marc Vallée)
Улица разбитых фонарей,Брайан Де Пальма (Brian De Palma)
Гладиатор,Ридли Скотт (Ridley Scott)
Суспирия,Лука Гуаданьино (Luca Guadagnino)
Веном,Рубен Фляйшер (Ruben Fleischer)
Мстители,Джосс Уидон (Joss Whedon)
Ван Хельсинг,Стивен Соммерс (Stephen Sommers)
Викинги,Майкл Хёрст (Michael Hirst)
Начало,Кристофер Нолан (Christopher Nolan)
Астрал,Джеймс Ван (James Wan)
Титаник,Джеймс Кэмерон (James Cameron)
12 стульев,Марк Захаров
Логан,Джеймс Мэнголд (James Mangold)
Ной,Даррен Аронофски (Darren Aronofsky)
Тобол,Игорь Зайцев
Один дома,Крис Коламбус (Chris Columbus)
Один дома,Игорь Смирнов
Мстители Финал,Энтони и Джо Руссо (Anthony and Joe Russo)
У холмов есть глаза,Александр Киреев
Мстители 2012,Джосс Уидон (Joss Whedon)
Алжир,Гилло Понтекорво (Gillo Pontecorvo)
Дэдпул,Тим Миллер (Tim Miller)
Крестный отец,Фрэнсис Форд Коппола (Francis Ford Coppola)
Прыжок вверх,Виктор Мережко
Балканский рубеж,Андрей Волгин
Бой с тенью,Сергей Бодров
Форсаж 4,Джастин Лин (Justin Lin)
Тобол,Игорь Зайцев
Проклятие Анабель,Гари Дауберман (Gary Dauberman)
Крит,Джордж Гэллоуэй (George Gallo)
Невероятный Халк,Луи Летерье (Louis Leterrier)
Терминатор 5,Алан Тейлор (Alan Taylor)
Карты деньги два ствола,Гай Ричи (Guy Ritchie)
Мстители,Джосс Уидон (Joss Whedon)
Богемская рапсодия,Брайан Сингер (Bryan Singer)
Тупой и еще тупее,Питер Фаррелли (Peter Farrelly)
Гарри Поттер,Крис Коламбус (Chris Columbus)
Начало,Кристофер Нолан (Christopher Nolan)
Операция Ы и другие приключения Шурика,Леонид Гайдай
Три метра над уровнем неба,Фернандо Гонзалез Молина (Fernando González Molina)
Одноклассники,Вячеслав Криштофович
Игра престолов,"Дэвид Бениофф, Д. Б. Уайсс (David Benioff, D. B. Weiss)"
В метре друг от друга,Джастин Болдони (Justin Baldoni)
Богемская рапсодия,Брайан Сингер (Bryan Singer)
Звезда родилась,Брэдли Купер (Bradley Cooper)
