text,label
лукашенко пригрозил литовским танкам белорусской картошкой ,0
российские компании оказались в опасности из за глобального потепления,1
лукашенко объявил об отмене выборов из за нападения иностранных диверсантов ,0
«роснефть» стала лидером по объему биржевых продаж нефтепродуктов,1
псковской области дадут десятки миллионов рублей на ремонт дорог,1
компания henkel — владелец брендов schwarzkopf  persil и «момент» — объявила об уходе из россии,1
чубайс ушел из совета директоров афк «система»  месяц назад он уехал из россии,1
далай лама xiv  «тибет вынужден выйти из дрсмд вслед за россией и сша» ,0
против моргенштерна вновь возбудили дело о пропаганде наркотиков,1
нацгвардия подала иск дональду трампу на 14 млн долларов из за зимних протестов ,0
российские приставы намерены принудительно взыскать с google 7 2 миллиарда рублей штрафа за отказ удалить запрещенный контент,1
россии предсказали рекордно низкие ставки,1
генпрокуратура украины назвала десять россиян  причастных к геноциду мирных жителей в буче,1
на встрече в аризоне трамп угощал избирателей мороженым ,0
телеканалы обяжут хвалить госдуму не менее часа в сутки ,0
российская ведущая кулинарных шоу села на голодовку,1
«простите меня уральцы я просто редко бывал в омске»  жириновский пересмотрел своё мнение насчёт самого тупого региона россии ,0
суд в санкт петербурге закрыл дело о «дискредитации» армии против пикетчика с плакатом «война — мир  свобода — рабство  незнание — сила»,1
в whatsapp появятся новые функции,1
xx съезд республиканской партии сша развенчал культ личности дональда трампа ,0
в нижневартовске в жилом доме взорвался газ,0
«теперь наша очередь писать им конституцию»  терешкова и клишас предложили сша помощь в реформе основного закона ,0
россия нанесла ракетный удар по одесской области  поврежден мост через днестровский лиман,1
французские санта клаусы в знак протеста пройдут в новогоднюю ночь по елисейским полям в жёлтых жилетах ,0
россию официально исключили из европы ,0
эрдоган на встрече с путиным назвал крым «издревле русской всенародной здравницей» ,0
партия «яблоко» намерена помешать выходу расследования навального о всемирном еврейском заговоре ,0
в качестве антикризисной меры в столовой госдумы начали мыть хрустальную и фарфоровую посуду ,0
люксембург вышлет из страны собаку российского дипломата ,0
фсб задержала более 20 террористов в москве и сибири,1
«единая россия» предложила принимать детей ветеранов боевых действий в вузы без вступительных испытаний,1
посетителя петербургского кафе расчленили за фразу «экспрессо невкусное от слова вообще» ,0
в барселоне нашли паспорта руслана боширова и анатолия чепиги ,0
дмитрий медведев поручил отпраздновать двадцатилетие «единой россии» не хуже чем в китае ,0
эксперт озхо не подписавший протокол отравления навального новичком попал под трамвай за час до анонсированной пресс конференции ,0
саудовская аравия будет председательствовать в комиссии оон по правам лгбт ,0
прибалтика выкопает траншею вдоль границы и станет островом ,0
дональд трамп открыл счёт в сбербанке ,0
петербургскую художницу александру скочиленко отправили в сизо до 1 июня по делу о «фейках» про войну  ей грозит до 10 лет тюрьмы,1
зюганов призвал силовиков «задушить гидру революции в зародыше» ,0
пуховик путина за 1 4 млн рублей убрали с сайта цума  но оставили в продаже  в таком путин выступал на z концерте в лужниках,1
лукашенко предложил путину возродить ссср ,0
повышение уровня мирового океана может привести к возрождению военно морского флота венгрии ,0
фсб второй раз за четыре дня сообщила о предотвращенном теракте,1
все диктаторы сидят в евросоюзе  лукашенко назвал себя легитимным президентом ,0
максима галкина забросали гнилыми помидорами на концерте в израиле ,0
«газпром» бесплатно проведет газ в отдалённые кубинские деревни ,0
россия запретила въезд на свою территорию главе британского правительства борису джонсону и министрам,1
молоденький фаворит лепса сделал сенсационное признание сложно назвать человеком,0
в душанбе забросали яйцами недавно открывшийся памятник горбачеву ,0
«хорошо поёт»  лукашенко предложил отправить романа протасевича на «евровидение» ,0
фсб задержала свыше 200 россиян которые вели в соцсетях пропаганду в интересах китая ,0
мирная жизнь возвращается  в казахстане прошел первый в этом году языковой патруль ,0
портрет мэрилин монро работы энди уорхола продан на аукционе за рекордные 195 миллионов долларов,1
марии алехиной попросили заменить условный срок по «санитарному делу» на реальный,1
после получения почтой россии статуса it компании отмечен массовый отток почтальонов за рубеж ,0
великобритания ввела санкции против главы ржд  представителя минобороны рф и концерна «калашников»,1
литва признала россию террористическим государством,1
бодипозитивная певица показала голое тело и удивила всех зелеными волосами,1
под харьковом сбит российский истребитель бомбардировщик су 34 — ввс украины,1
“он умышленно сел в тюрьму чтобы жить за счёт государства”  ск завел новое дело против навального ,0
bloomberg  в новый пакет санкций ес может войти запрет на покупку российской нефти,1
в германии впервые посадили чиновника за взятку в рублях ,0
2021 год объявлен годом прав и свобод человека в россии ,0
россия отправила кубе в качестве гуманитарной помощи ракетные комплексы «искандер» ,0
в адыгее нарастят темпы строительства жилья,1
депутаты избранные в госдуму в 20 лет смогут уйти на пенсию в 30 ,0
адольф гитлер совершит рабочую поездку в израиль ,0
ребенка убило ледяной глыбой в детском саду магадана,0
«фальсификация» выборов в королёве признана учениями ,0
вашингтон требует от москвы объяснений как именно россия вмешалась в выборы ,0
российские зрители увидят «аватар 2» первыми в мире ,0
оон  война в украине создает угрозу голода и нищеты для пятой части населения земли,1
премьер министр италии  путин считает  что условия для прекращения огня в украине еще не созрели,1
«я не знал что он оскорбил ветерана»  байден отозвал свою просьбу об освобождении навального ,0
путин встретится в москве с генсеком оон,1
виталий милонов предложил запретить работу секс шопов в россии ,0
московская полиция причислила к экстремистам льва толстого после использования его цитаты на антивоенной акции,1
в москве из за проблем со здоровьем суд освободил из тюрьмы физика ковалева  осужденного на семь лет по делу о госизмене,1
в гаване в отеле напротив здания парламента кубы произошел взрыв  больше 20 человек погибли,1
во владивостоке по ошибке показали новогоднее поздравление президента с 2027 годом ,0
пранкеры вован и лексус опубликовали переговоры берлина и варшавы за полчаса до белорусского тв ,0
в петербурге у пяти активистов прошли обыски по делу о «фейках»,1
си цзиньпин объявил о начале торговли с российскими предприятиями за советские рубли ,0
самая красивая женщина в мире в оголяющем живот топе поработала дрелью,1
роскомнадзор заблокировал сайт wonderzine,1
в россии разрешили эксплуатацию аппаратов ивл после пожаров в больницах,1
журналист из фрг рассказал на каких условиях немцы готовы простить россию за гдр ,0
во время учений в риге солдаты нато распяли русскоговорящего мальчика ,0
в германии расследуют более 140 уголовных дел  заведенных из за одобрения российского вторжения в украину,1
потомки ближневосточных и африканских лидеров обвинили брежнева в домогательствах ,0
